SELLDATE,SELLMONTH,SELLYEAR,ADDRESS,CITY,STATE,ZIP, PRICE ,BEDS,BATHS,LOCATION,SQFT,LOTSIZE,YARDSPACE,YEARBUILT,SELLAGE,PRICE/SQFT,HOA/MONTH,MLS#,LATITUDE,LONGITUDE
13-Apr-22,Apr-22,2022,3733 Winchester,The Colony,TX,75056,"$725,000.00 ",4,3.5,Stonehaven At Tribute Ph 1,3214,6011,2797,2015,7,$225.58 ,100,14753259,33.119451,-96.909861
12-Sep-22,Sep-22,2022,732 Saddlebrook Dr,Frisco,TX,75036,"$650,000.00 ",5,4,The Vistas At Waterstone Ph 1,3896,8973,5077,2008,14,$166.84 ,86,20126548,33.1228633,-96.8955515
23-Feb-22,Feb-22,2022,564 Burning Oak Dr,Frisco,TX,75036,"$689,900.00 ",5,3,The Vistas At Waterstone Ph,3896,8102,4206,2008,14,$177.08 ,86,14727078,33.1257678,-96.8952162
4-Aug-21,Aug-21,2021,5220 Havasu Dr,Frisco,TX,75036,"$670,000.00 ",4,3.5,The Shores At Waterstone Ph,3674,9104,5430,2013,8,$182.36 ,174,14617141,33.12253,-96.9043328
8-Apr-22,Apr-22,2022,5170 Skyline Dr,Frisco,TX,75036,"$449,950.00 ",4,3,The Vistas At Waterstone Ph 1,2125,8451,6326,2006,16,$211.74 ,174,14755558,33.1215665,-96.8980454
8-Jul-21,Jul-21,2021,1245 Clearwater Dr,Frisco,TX,75036,"$900,000.00 ",4,4.5,The Shores At Waterstone Ph,4146,12327,8181,2013,8,$217.08 ,174,14585646,33.1242031,-96.9034875
3-Mar-23,Mar-23,2023,5558 Kirkhaven Dr,Frisco,TX,75036,"$607,500.00 ",4,3,The Vistas At Waterstone Ph,2788,9845,7057,2009,14,$217.90 ,83,20240312,33.124676,-96.89268
14-Oct-21,Oct-21,2021,677 Hidden River Dr,Frisco,TX,75036,"$650,000.00 ",5,4,The Vistas At Waterstone Ph02,3896,11369,7473,2008,13,$166.84 ,86,14668030,33.123614,-96.892831
10-May-21,May-21,2021,5248 Havasu Dr,Frisco,TX,75036,"$625,000.00 ",5,4,The Shores At Waterstone Ph,3659,10106,6447,2013,8,$170.81 ,174,14527788,33.122724,-96.904336
7-Mar-22,Mar-22,2022,5117 Skyline Dr,Frisco,TX,75036,"$649,900.00 ",5,4,The Vistas At Waterstone Ph 1,4000,14375,10375,2007,15,$162.48 ,87,14737587,33.1207955,-96.8981502
24-Feb-22,Feb-22,2022,659 Hidden River Dr,Frisco,TX,75036,"$687,000.00 ",5,4,The Vistas At Waterstone Phase 2,3896,9496,5600,2008,14,$176.33 ,86,14739756,33.123828,-96.89274
7-Jan-22,Jan-22,2022,595 Burning Oak Dr,Frisco,TX,75036,"$562,000.00 ",4,3,The Vistas At Waterstone Ph,2542,8973,6431,2008,14,$221.09 ,86,14706436,33.1251512,-96.8949019
19-Aug-22,Aug-22,2022,5018 Kerstyn Dr,Frisco,TX,75036,"$938,500.00 ",5,3.5,The Shores At Waterstone Ph,3711,19341,15630,2014,8,$252.90 ,174,20116655,33.121593,-96.900613
2-Apr-21,Apr-21,2021,1217 Roma Dr,Frisco,TX,75036,"$565,000.00 ",4,3.5,The Shores At Waterstone Ph,3659,9975,6316,2014,7,$154.41 ,188,14517922,33.1207336,-96.9024255
5-Oct-21,Oct-21,2021,3728 Dover,The Colony,TX,75056,"$650,000.00 ",4,3.5,Stonehaven At Tribute Ph 2,3312,8886,5574,2018,3,$196.26 ,100,14658177,33.1164952,-96.9094679
7-Sep-21,Sep-21,2021,648 Burning Oak Dr,Frisco,TX,75036,"$577,000.00 ",4,3.5,The Vistas At Waterstone Ph,3075,14505,11430,2009,12,$187.64 ,86,14629235,33.1247182,-96.8956144
30-Jun-21,Jun-21,2021,5631 Laguna Dr,Frisco,TX,75036,"$1,200,000.00 ",5,5,The Shores At Waterstone Ph 1,6151,16771,10620,2006,15,$195.09 ,174,14577184,33.1235747,-96.9000782
26-Jul-21,Jul-21,2021,858 Saddlebrook Dr,Frisco,TX,75036,"$500,000.00 ",5,4,The Vistas At Waterstone Ph 1,3896,9932,6036,2008,13,$128.34 ,86,14600206,33.1215354,-96.8954468
17-Dec-21,Dec-21,2021,894 Saddlebrook Dr,Frisco,TX,75036,"$675,000.00 ",5,4,The Vistas At Waterstone Ph 1,3939,16771,12832,2007,14,$171.36 ,86,14697762,33.121189,-96.895772
5-Oct-21,Oct-21,2021,1169 Roma Dr,Frisco,TX,75036,"$549,900.00 ",3,2.5,The Shores At Waterstone Ph,2558,9975,7417,2015,6,$214.97 ,174,14656834,33.1208629,-96.901671
24-Jun-21,Jun-21,2021,637 Gulf Shores Dr,Frisco,TX,75036,"$950,000.00 ",4,4.5,The Shores At Waterstone Ph 1,4486,14680,10194,2013,8,$211.77 ,174,14564731,33.124824,-96.896646
25-Mar-21,Mar-21,2021,5196 Rolling Hills Dr,Frisco,TX,75036,"$407,000.00 ",4,3,The Vistas At Waterstone Ph 1,2593,10106,7513,2007,14,$156.96 ,83,14510707,33.1223009,-96.8974167
8-Oct-21,Oct-21,2021,5665 Laguna Dr,Frisco,TX,75036,"$1,395,000.00 ",5,4.5,The Shores At Waterstone Ph 1,4206,18339,14133,2017,4,$331.67 ,131,14622557,33.1238733,-96.9002071
6-Aug-21,Aug-21,2021,5118 Sylvan Shores Dr,Frisco,TX,75036,"$610,000.00 ",5,4,The Shores At Waterstone Ph,3666,10629,6963,2014,7,$166.39 ,188,14591437,33.1220864,-96.9032639
9-Apr-21,Apr-21,2021,953 Cipriani Dr,Frisco,TX,75036,"$1,395,000.00 ",5,6,The Shores At Waterstone Ph 1,5434,14157,8723,2014,7,$256.72 ,174,14529174,33.122272,-96.899566
