SOLD_MONTH,PROPERTYTYPE,ADDRESS,CITY,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUAREFEET,LOTSIZE,YEARBUILT,Price_per_sqrt,HOA_MONTH,MLS,LATITUDE,LONGITUDE
,Single Family Residential,10716 Alexandria Dr,Frisco,75035,350000,4,2,Plantation Resort Ph #1B,1708,6534,1993,205,28,14559032,33.1288828,-96.7856454
,Single Family Residential,9600 Presthope Dr,Frisco,75035,485000,4,2.5,Prestmont Ph 1,2895,6534,1995,168,24,14577650,33.1131449,-96.7987209
,Single Family Residential,5904 Louisville Dr,Frisco,75035,375000,4,2,Plantation Resort Ph Iic The,2027,7405,1995,185,28,14535379,33.1271717,-96.7767752
,Single Family Residential,11701 Chaucer Dr,Frisco,75035,525000,4,3.5,Parkside Estates 2,4171,8712,2003,126,21,14665145,33.1373243,-96.7774446
,Single Family Residential,9944 Promontory Dr,Frisco,75035,489000,4,2,Tuscany Meadows Ph Two,2152,7841,2005,227,39,20077504,33.12458,-96.793284
,Single Family Residential,11212 Knoxville Ln,Frisco,75035,625000,4,3,Plantation Resort Ph 2a The,3182,7841,1994,196,28,14763791,33.126891,-96.7807288
,Single Family Residential,11308 Knoxville Ln,Frisco,75035,569900,4,2,Plantation Resort Ph 2a,2301,7841,1994,248,60,20214881,33.1270149,-96.7800594
,Single Family Residential,7200 Bouquet Dr,Frisco,75035,450000,3,2,Preston Vineyards Section 2,2222,10019,1992,203,,14660706,33.1380853,-96.7905196
,Single Family Residential,9646 Landmark Pl,Frisco,75035,470000,5,3.5,Smith Estates,3608,8276,2001,130,25,14543123,33.1148387,-96.7980523
,Single Family Residential,11005 Ormond Ln,Frisco,75035,500000,5,2.5,Plantation Resort Augusta Farm,2601,7841,1988,192,16,20013220,33.1203558,-96.7838877
,Single Family Residential,12012 Paducah Dr,Frisco,75035,610000,4,2.5,Plantation Resort Ph Iiia The,2894,6534,1996,211,28,14751008,33.1270427,-96.7731146
,Single Family Residential,10103 Belfort Dr,Frisco,75035,399999,3,2,Hillcrest Estates Ph Viii,1968,6534,1998,203,,14588630,33.1093055,-96.7925548
,Single Family Residential,11133 Clearstream Ln,Frisco,75035,439000,3,2,Lakes Of Preston Vineyards Ph 3 The,2070,7405,2000,212,44,20020260,33.131073,-96.7828224
,Single Family Residential,11200 Knoxville Ln,Frisco,75035,550000,4,3,Plantation Resort Ph Ic The,3182,7405,1993,173,28,14625024,33.126965,-96.7813773
,Single Family Residential,10180 Boyton Canyon Rd,Frisco,75035,350000,3,2,Sedona Ph Two,1944,3920,2009,180,57,14529753,33.137425,-96.793568
,Single Family Residential,11726 Barrymore Dr,Frisco,75035,595000,5,3.5,Parkside Estates 2,3787,8712,2004,157,21,14628126,33.1369978,-96.7772036
,Single Family Residential,10716 Tallahassee Dr,Frisco,75035,439900,3,2,Plantation Resort Ph Iid The,1777,9148,1995,248,28,14704039,33.1176269,-96.7858124
,Single Family Residential,9500 Summer Dr,Frisco,75035,448000,4,2,Autumn Park,2177,7841,1998,206,,14647867,33.132802,-96.799656
,Single Family Residential,10409 Samantha Dr,Frisco,75035,359000,3,2,Hillcrest Estates Ph I,1981,6534,1993,181,,14518581,33.1139349,-96.7891987
,Single Family Residential,5413 Lafayette Dr,Frisco,75035,750000,4,3,Plantation Resort Lake Brook Farms Ph 6,3500,8276,1999,214,,20073526,33.12353,-96.776705
,Single Family Residential,9801 Prestmont Pl,Frisco,75035,450000,4,2,Prestmont - Ph III,2160,6970,1997,208,24,14745807,33.1110454,-96.7966905
,Single Family Residential,11625 Forestbrook Dr,Frisco,75035,430000,4,3,Preston Vineyards North,2585,14810,2002,166,28,14670929,33.138563,-96.7783859
,Single Family Residential,11010 Spring Lake Rd,Frisco,75035,415000,3,2,Hillcrest Estates Sec II Ph IV,1925,8276,1999,216,36,14624203,33.1157148,-96.7831764
,Single Family Residential,5406 Plantation Ln,Frisco,75035,450000,4,2,Plantation Resort Lake Brook Farms Ph 2,2345,7841,1995,192,,14597328,33.123151,-96.7775282
,Single Family Residential,11009 Ormond Ln,Frisco,75035,569900,4,3,Plantation Resort Augusta Farm,2595,7841,1988,220,16,20143988,33.1203672,-96.7836785
,Single Family Residential,10908 Shadow Brook Ln,Frisco,75035,449900,4,2,Hillcrest Estates Sec II Ph VI,2126,7405,1999,212,36,14702750,33.1141129,-96.7842387
,Single Family Residential,6561 Richmond Dr,Frisco,75035,415000,3,2,Lakes Of Preston Vineyards Ph 2 The,1734,5663,2000,239,44,20145252,33.1324828,-96.7788252
,Single Family Residential,11324 Blanchard Dr,Frisco,75035,454990,3,2,Lakes Of Preston Vineyards Ph 2 The,1791,5663,1999,254,44,20117726,33.1338415,-96.7805517
,Single Family Residential,7004 Chardonnay Dr,Frisco,75035,550000,4,2,Preston Vineyards,2070,12632,1993,266,,20093164,33.1366614,-96.7896201
,Single Family Residential,4408 Ripplewood Rd,Frisco,75035,399999,3,2,Hillcrest Estates,2606,6534,1999,153,36,14537398,33.1152895,-96.7822976
,Single Family Residential,9795 Boyton Canyon Rd,Frisco,75035,450000,3,3,Sedona Ph Two,2285,6970,2009,197,62,14626384,33.1372858,-96.7974121
,Single Family Residential,5402 Plantation Ln,Frisco,75035,425000,4,3.5,Plantation Resort Lake Brook Farms Ph 2,2514,7841,1996,169,,14575992,33.1229738,-96.7775701
,Single Family Residential,12001 Auburn Ln,Frisco,75035,509900,4,3.5,Plantation Resort Ph Iiia The,3362,8276,1996,152,28,14510732,33.1257909,-96.7736166
,Single Family Residential,9606 Enmore Ln,Frisco,75035,450000,3,2,Prestmont Ph 1,1733,6970,1995,260,24,20109571,33.1123568,-96.7984501
,Single Family Residential,11106 Alexandria Dr,Frisco,75035,410000,3,2.5,Plantation Resort Ph 2a The,2381,8276,1995,172,28,14621370,33.1285421,-96.7821304
